year,horse,mareage,region,no_trts,no_changes,total_agg_given,total_agg_rcd,ch_per_hour,agg_given_per_hrs_obs,agg_rcd_per_hrs_obs,total_time_watched_min,total_time_watched_hrs,avg_rel_rank,ave_rump
2021,dory,5,B_central,0,0,1,5,0,0.142857143,0.714285714,420,7,0,3.35
2023,dory,7,B_central,0,0,2,11,0,0.533333333,2.933333333,225,3.75,0.0604,2.85
2021,wallace,22,B_central,3,1,2,15,0.081632653,0.163265306,1.224489796,735,12.25,0.146666667,3.933333333
2023,wallace,24,B_central,3,2,3,6,0.269662921,0.404494382,0.808988764,445,7.416666667,0.2114,1.25
2021,chacha,13,B_central,0.5,2,8,3,0.279069767,1.11627907,0.418604651,430,7.166666667,0.41975,3.333333333
2023,chacha,15,B_central,0.5,0,2,0,0,0.307692308,0,390,6.5,0.4293,3.85
2023,dreidel,10,B_central,0,0,10,21,0,1.304347826,2.739130435,460,7.666666667,0.3752,2.5
2023,hoorah,18,B_central,3,4,1,1,0.615384615,0.153846154,0.153846154,390,6.5,0.671,3.5
2023,damaris,5,B_central,0,2,13,3,0.666666667,4.333333333,1,180,3,0.663,2.95
2023,harper,8,B_central,0,2,8,2,0.289156626,1.156626506,0.289156627,415,6.916666667,0.6242,2.65
2021,hoorah,16,B_central,3,1,19,4,0.088888889,1.688888889,0.355555556,675,11.25,0.832,4
2023,hermione,18,B_central,5,5,2,0,1.176470588,0.470588235,0,255,4.25,0.6797,3.9
2021,donoma,15,B_central,0,1,1,1,0.193548387,0.193548387,0.193548387,310,5.166666667,0.8725,4
2023,donoma,17,B_central,0,0,4,1,0,1.066666667,0.266666667,225,3.75,0.8654,4
2023,hedvig,16,B_central,0,0,28,0,0,3.652173913,0,460,7.666666667,0.916,2.95
2021,tatya,20,B_central,4,0,6,6,0,0.533333333,0.533333333,675,11.25,0.748666667,3.666666667
2023,tatya,22,B_central,4,1,2,0,0.153846154,0.307692308,0,390,6.5,0.829,4
2021,desdamona,12,B_central,2,0,8,5,0,0.914285714,0.571428571,525,8.75,NA,2.9
2021,dreidel,8,B_central,0,0,0,0,0,0,0,5,0.083333333,NA,2.7
2021,harper,6,B_central,0,1,1,0,0.108108108,0.108108108,0,555,9.25,NA,2.875
2021,helena,27,B_central,0,1,0,0,12.00000005,0,0,5,0.083333333,NA,NA
2023,keller,16,B_central,3,0,0,0,0,0,0,270,4.5,NA,2.95
2023,persia,21,B_central,4,3,0,0,0.631578947,0,0,285,4.75,NA,NA
2023,sewell,8,B_central,0,0,0,0,NA,NA,NA,0,0,NA,NA
2021,djambi,8,C_east,2,0,1,1,0,0.19047619,0.19047619,315,5.25,0.503,2.616666667
2023,douka,8,C_east,0,4,3,7,0.421052632,0.315789474,0.736842105,570,9.5,0,2.866666667
2021,hana,7,C_east,0,0,5,15,0,0.465116279,1.395348837,645,10.75,0.0035,2.433333333
2021,himalaya,19,C_east,4,0,0,5,0,0,0.952380952,315,5.25,0,3.666666667
2021,hufflepuff,4,C_east,0,0,0,7,0,0,0.717948718,585,9.75,0.0542,2.95
2023,hufflepuff,6,C_east,0,0,0,22,0,0,2.869565217,460,7.666666667,0.0146,3
2023,jaquincoke,25,C_east,5,0,0,3,0,0,0.404494382,445,7.416666667,0.1288,2.95
2021,penelope,21,C_east,4,0,1,19,0,0.101694915,1.93220339,590,9.833333333,0.0025,2.95
2023,penelope,23,C_east,4,0,0,11,0,0,1.157894737,570,9.5,0.001666667,2.733333333
2023,havana,12,C_east,1,1,2,5,0.148148148,0.296296296,0.740740741,405,6.75,0.159333333,2.925
2023,dotu,24,C_east,5,0,1,1,0,0.137931034,0.137931034,435,7.25,0.166666667,2.975
2021,jaquincoke,23,C_east,5,3,2,10,0.288,0.192,0.96,625,10.41666667,0.231666667,2.925
2023,desertgold,4,C_east,0,1,0,4,2,0,8,30,0.5,0.1506,3
2023,hana,9,C_east,0,0,2,3,0,0.269662921,0.404494382,445,7.416666667,0.0712,2.366666667
2021,dotu,22,C_east,5,0,5,2,0,0.952380952,0.380952381,315,5.25,0.423666667,3.65
2023,hula,10,C_east,1,0,0,3,0,0,0.315789474,570,9.5,0.331666667,2.7
2021,persia,19,C_east,4,6,5,6,0.576,0.48,0.576,625,10.41666667,0.286333333,3.966666667
2023,dendera,13,C_east,3,0,2,0,0,0.269662921,0,445,7.416666667,0.5618,3.3
2021,larissa,20,C_east,4,3,13,14,0.276923077,1.2,1.292307692,650,10.83333333,0.630283333,3.933333333
2021,hula,8,C_east,1,0,5,7,0,0.566037736,0.79245283,530,8.833333333,0.4975,2.9
2023,larissa,22,C_east,4,0,6,1,0,0.6,0.1,600,10,0.8835,4
2021,hermione,16,C_east,5,5,8,6,0.576923077,0.923076923,0.692307692,520,8.666666667,0.565427778,3.92
2021,douka,6,C_east,0,0,10,21,0,1.025641026,2.153846154,585,9.75,0.62,2.95
2023,scrabble,10,C_east,1,0,11,2,0,1.157894737,0.210526316,570,9.5,0.673666667,2.95
2021,shiphrah,18,C_east,4,0,1,1,0,0.19047619,0.19047619,315,5.25,0.576333333,3.35
2021,hedvig,14,C_east,0,0,2,16,0,0.205128205,1.641025641,585,9.75,0.2354,2.85
2023,himalaya,21,C_east,4,0,0,2,0,0,0.258064516,465,7.75,0.833333333,2.975
2023,shiphrah,20,C_east,4,0,1,0,0,0.137931034,0,435,7.25,0.833333333,2.975
2023,dara,5,C_east,0,0,5,2,0,0.674157303,0.269662921,445,7.416666667,0.8976,2.166666667
2021,dendera,11,C_east,3,2,17,0,0.170212766,1.446808511,0,705,11.75,0.974166667,2.95
2023,djambi,10,C_east,2,0,5,1,0,0.869565217,0.173913043,345,5.75,0.848,3.216666667
2021,havana,10,C_east,1,3,2,2,0.571428571,0.380952381,0.380952381,315,5.25,0.497,2.866666667
2021,hiphop,13,C_east,2,3,33,2,0.279069767,3.069767442,0.186046512,645,10.75,0.9238,3.25
2023,hiphop,15,C_east,2,0,5,3,0,0.5,0.3,600,10,0.6165,2.933333333
2021,horchata,9,C_east,0.5,0,2,0,0,0.380952381,0,315,5.25,1,3.916666667
2021,scrabble,8,C_east,1,0,22,1,0,2.237288136,0.101694915,590,9.833333333,1,3.35
2021,christie,6,C_east,0,0,0,0,0,0,0,60,1,NA,2.9
2023,christie,8,C_east,0,0,0,0,NA,NA,NA,0,0,NA,2.925
2023,desdamona,14,C_east,2,3,5,0,0.5,0.833333333,0,360,6,NA,3.45
2021,dumey,28,C_east,5,1,0,0,2,0,0,30,0.5,NA,NA
2023,dumey,30,C_east,5,4,0,0,8,0,0,30,0.5,NA,3.316666667
2023,hadari,5,C_east,0,1,0,0,1.333333333,0,0,45,0.75,NA,2.95
2023,horchata,11,C_east,0.5,0,0,0,0,0,0,75,1.25,NA,3.3
2023,sabella,5,C_east,0,1,0,0,NA,NA,NA,0,0,NA,NA
2021,thunder,20,C_east,4,4,3,0,1.777777778,1.333333333,0,135,2.25,NA,3.9
2023,thunder,22,C_east,4,0,0,0,NA,NA,NA,0,0,NA,3.45
2021,devi,6,A_west,0,1,0,9,1.2,0,10.8,50,0.833333333,0,NA
2021,keller,14,A_west,3,0,0,9,0,0,1.264637002,427,7.116666667,0,2.9
2021,liani,17,A_west,5,0,0,1,0,0,0.8,75,1.25,0,3
2023,liani,19,A_west,5,2,0,9,0.666666667,0,3,180,3,0,2.975
2023,sawathu,17,A_west,2,3,0,11,0.333333333,0,1.222222222,540,9,0.026888889,4.025
2023,sprite,14,A_west,1,0,0,10,0,0,1.538461538,390,6.5,0,2.7875
2023,sprout,6,A_west,0,0,0,5,0,0,0.606060606,495,8.25,0,2.85
2021,sybill,4,A_west,0,4,1,7,1.333333333,0.333333333,2.333333333,180,3,0,3.4
2021,wire,28,A_west,4,0,1,10,0,0.226415094,2.264150943,265,4.416666667,0.123666667,2.3
2021,sprite,12,A_west,1,3,1,23,0.5,0.166666667,3.833333333,360,6,0.172166667,3.55
2021,wanaka,19,A_west,4,0,3,16,0,0.306643952,1.635434412,587,9.783333333,0.2132,4
2021,sewell,6,A_west,0,0,4,0,0,0.971659919,0,247,4.116666667,0.664333333,3
2021,sprout,4,A_west,0,0,10,3,0,4.137931034,1.24137931,145,2.416666667,0.616666667,4
2023,helga,6,A_west,0,4,3,15,0.41025641,0.307692308,1.538461538,585,9.75,0.339222222,2.58
2021,sawathu,15,A_west,2,10,22,40,0.797872341,1.755319149,3.191489362,752,12.53333333,0.3607375,4.033333333
2021,shira,20,A_west,4,0,21,10,0,1.947449768,0.927357032,647,10.78333333,0.701,3.933333333
2021,trelawney,4,A_west,0,2,3,5,0.393442623,0.590163934,0.983606557,305,5.083333333,0.405266667,2.275
2021,tequila,9,A_west,0,3,3,4,0.849056604,0.849056604,1.132075472,212,3.533333333,0.476822222,3.2
2021,alexa,25,A_west,6,0,18,5,0,2.769230769,0.769230769,390,6.5,0.4925,4
2023,alexa,27,A_west,6,0,8,2,0,1.230769231,0.307692308,390,6.5,0.527,3.425
2021,hooch,4,A_west,0,1,4,8,0.1875,0.75,1.5,320,5.333333333,0.518333333,3.6
2021,tiger,23,A_west,5,0,10,3,0,0.927357032,0.27820711,647,10.78333333,0.7826,3.8
2021,hopscotch,8,A_west,2,1,6,3,0.142857143,0.857142857,0.428571429,420,7,0.336666667,2.9
2021,lassie,22,A_west,7,0,18,2,0,1.358490566,0.150943396,795,13.25,0.372333333,2.925
2021,selena,10,A_west,0.5,3,16,10,0.6,3.2,2,300,5,0.629166667,4
2023,tawee,4,A_west,0,0,3,7,0,0.226415094,0.528301887,795,13.25,0.719666667,2.5625
2023,ariel,25,A_west,4,3,2,0,1.714285714,1.142857143,0,105,1.75,0.58375,2.7
2023,selena,12,A_west,0.5,7,20,7,0.736842105,2.105263158,0.736842105,570,9.5,0.833125,4
2021,ariel,23,A_west,4,2,7,0,0.888888889,3.111111111,0,135,2.25,1,3.9
2021,delphi,19,A_west,4,8,29,0,1.882352941,6.823529412,0,255,4.25,0.970027778,3.966666667
2023,delphi,21,A_west,4,2,3,0,0.363636364,0.545454545,0,330,5.5,1,3.5
2021,helga,4,A_west,0,0,6,0,0,0.75,0,480,8,0.999,3
2021,missisabel,18,A_west,3,3,17,8,0.6,3.4,1.6,300,5,0.8595,4.1
2023,missisabel,20,A_west,3,4,12,0,0.372093023,1.11627907,0,645,10.75,1,4
2023,wanaka,21,A_west,4,4,17,2,0.280701754,1.192982456,0.140350877,855,14.25,0.9525,3.0875
2021,austen,6,A_west,0,1,0,0,1.2,0,0,50,0.833333333,NA,NA
2023,austen,8,A_west,0,0,0,0,0,0,0,45,0.75,NA,2.5
2021,bridget,23,A_west,5,2,0,1,1,0,0.5,120,2,NA,3.9
2023,bridget,25,A_west,5,NA,0,0,NA,0,0,30,0.5,NA,3
2023,hopscotch,10,A_west,2,2,0,0,0.533333333,0,0,225,3.75,NA,3.675
2023,shira,22,A_west,4,0,0,0,0,0,0,90,1.5,NA,3.9
2023,sybill,6,A_west,0,2,0,0,NA,NA,NA,0,0,NA,2.75
2023,tequila,11,A_west,0,NA,0,0,NA,0,0,30,0.5,NA,3
