year,male,male_year,elo_uncertainty,joins,leaves,total_changes,total_sightings,total_changes_per_sighting
2021,aesop,aesop_2021,NA,2,2,4,3,1.333333333
2023,alistair,alistair_2023,0.890112586,6,6,12,22,0.545454545
2021,alistair,alistair_2021,0.924984236,6,6,12,16,0.75
2023,atari,atari_2023,NA,2,2,4,12,0.333333333
2021,atari,atari_2021,0.865396657,2,2,4,4,1
2021,cataan,cataan_2021,0.728446113,0,3,3,6,0.5
2023,hernando,hernando_2023,0.852892859,1,0,1,13,0.076923077
2021,hernando,hernando_2021,NA,5,5,10,10,1
2021,hummer,hummer_2021,0.949432948,1,1,2,16,0.125
2023,hummer,hummer_2023,NA,2,3,5,18,0.277777778
2021,jfk,jfk_2021,NA,1,2,3,2,1.5
2023,jfk,jfk_2023,0.993029275,7,7,14,8,1.75
2023,kabuki,kabuki_2023,0.926030653,3,3,6,13,0.461538462
2021,kabuki,kabuki_2021,0.75636573,10,10,20,20,1
2023,katsu,katsu_2023,0.892062489,5,4,9,8,1.125
2021,katsu,katsu_2021,0.960563525,8,8,16,11,1.454545455
2021,kvass,kvass_2021,0.951970265,0,0,0,14,0
2023,kvass,kvass_2023,0.985676524,0,0,0,18,0
2021,largo,largo_2021,NA,0,1,1,4,0.25
2023,scotch,scotch_2023,0.977901955,6,9,15,16,0.9375
2021,scotch,scotch_2021,0.934772623,9,9,18,15,1.2
2021,shakespeare,shakespeare_2021,0.830193592,10,11,21,15,1.4
2023,sheriff,sheriff_2023,0.953698155,2,2,4,10,0.4
2021,sisko,sisko_2021,0.711934097,4,4,8,11,0.727272727
2023,sisko,sisko_2023,0.984906601,6,5,11,10,1.1
2023,suder,suder_2023,NA,6,5,11,16,0.6875
2023,tiberius,tiberius_2023,0.988206164,1,1,2,13,0.153846154
2021,tiberius,tiberius_2021,0.95941843,4,5,9,13,0.692307692
2021,waco,waco_2021,0.989325059,2,0,2,7,0.285714286
2023,waco,waco_2023,0.985979475,7,7,14,9,1.555555556
